,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,property_valuation,Rank,Value,age
0,Franklin,Wohler,Male,55,1938-10-16,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,8,191,1.15,85.0
1,Andrea,Pendle,Female,86,1938-08-05,Unknown,Unknown,High Net Worth,N,Yes,13,31281 Meadow Valley Way,4500,QLD,6,760,0.6375,85.0
2,Wyn,Meach,Male,37,1938-09-10,Accountant II,Manufacturing,Mass Customer,N,No,9,79 Armistice Junction,2765,NSW,9,415,0.921875,85.0
3,Anthony,Morison,Male,7,1938-06-08,General Manager,Health,Mass Customer,N,No,12,276 Derek Circle,2759,NSW,9,797,0.6,85.0
4,Zachariah,Meininking,Male,40,1938-06-09,Cost Accountant,Financial Services,Affluent Customer,N,Yes,20,24815 Lindbergh Avenue,2749,NSW,7,883,0.53125,85.0
5,Willard,Booton,Male,69,1938-09-02,Account Representative IV,Health,High Net Worth,N,Yes,7,05 Ronald Regan Alley,2121,NSW,9,688,0.697,85.0
6,Alleen,Eaken,Female,56,1938-08-31,Unknown,Unknown,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,12,259,1.0625,85.0
7,Letizia,Poore,Female,27,1938-08-30,Web Developer II,Manufacturing,Affluent Customer,N,No,15,95796 Mcbride Drive,3677,VIC,3,583,0.7875,85.0
8,Tina,Dunstan,Female,13,1939-03-06,Account Representative IV,Retail,Affluent Customer,N,No,13,98555 Victoria Hill,2171,NSW,7,483,0.8765625,84.0
9,Glory,Chilcott,Female,49,1939-09-09,Environmental Tech,Telecommunications,High Net Worth,N,No,9,4286 Rowland Circle,4165,QLD,5,741,0.65875,84.0
10,Esther,McOnie,Female,59,1939-05-26,Legal Assistant,IT,Mass Customer,N,No,14,844 Forster Place,2096,NSW,12,599,0.775,84.0
11,Launce,Gale,Male,86,1939-01-15,Unknown,Unknown,Mass Customer,N,No,21,4 Fordem Avenue,2777,NSW,9,913,0.499375,84.0
12,Ginger,Unknown,Male,94,1939-02-19,Human Resources Manager,Health,Mass Customer,N,No,11,160 Fremont Point,2259,NSW,8,840,0.57109375,84.0
13,Kippar,Brimilcome,Male,21,1938-11-29,Graphic Designer,Health,Mass Customer,N,No,19,082 Welch Lane,2089,NSW,11,405,0.93,84.0
14,Tamar,Windmill,Female,92,1939-08-28,Senior Editor,Manufacturing,Affluent Customer,N,No,10,4669 Troy Place,2207,NSW,10,386,0.945625,84.0
15,Piper,Issacov,Female,67,1939-11-08,Human Resources Assistant III,Health,Affluent Customer,N,Yes,22,52201 Tony Avenue,2088,NSW,9,856,0.56,84.0
16,Dyann,Olechnowicz,Female,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,10,252,1.073125,84.0
17,Devonne,Alderwick,Female,79,1939-01-29,Research Associate,Financial Services,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,7,177,1.1625,84.0
18,Augie,Swallwell,Male,42,1939-08-22,Analog Circuit Design manager,Property,Affluent Customer,N,Yes,13,7 Golden Leaf Avenue,2400,NSW,2,626,0.74375,84.0
19,Odilia,Quick,Female,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,11,19,1.53125,84.0
20,Beverly,Domnick,Female,56,1938-12-10,Structural Analysis Engineer,IT,Mass Customer,N,No,9,8 Burning Wood Junction,2232,NSW,10,977,0.42,84.0
21,Mariquilla,Springthorpe,Female,30,1939-04-04,Director of Sales,Property,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,10,237,1.094375,84.0
22,Kellyann,Adshad,Female,62,1940-06-07,Unknown,Unknown,Mass Customer,N,Yes,22,29 Tennyson Alley,2161,NSW,9,620,0.75,83.0
23,Jordan,Clampe,Male,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,5,111,1.28125,83.0
24,Reynold,Elman,Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,2,102,1.28828125,83.0
25,Kori,Sparsholt,Female,59,1940-05-19,Office Assistant II,Telecommunications,Mass Customer,N,Yes,19,37 Rigney Park,2171,NSW,9,455,0.8925,83.0
26,Georgetta,Lovett,Female,42,1940-02-02,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,1,127,1.25,83.0
27,Lisette,Davers,Female,59,1940-10-26,Developer III,Health,High Net Worth,N,No,17,504 Stuart Pass,2130,NSW,11,662,0.711875,83.0
28,Rolland,Esmead,Male,41,1940-07-13,Account Representative IV,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,8,233,1.1,83.0
29,Jacklin,Duchant,Female,77,1940-03-18,Legal Assistant,Argiculture,Mass Customer,N,No,17,9 Memorial Road,4132,QLD,4,939,0.4675,83.0
30,Austine,Speedy,Female,38,1940-05-23,Software Engineer II,Argiculture,High Net Worth,N,Yes,14,69 Sunfield Terrace,2558,NSW,8,646,0.73,83.0
31,Boothe,Hayselden,Male,42,1940-05-18,Computer Systems Analyst III,Health,Mass Customer,N,Yes,17,33 Pond Point,2291,NSW,10,817,0.5865,83.0
32,Bessy,Saladin,Female,22,1939-12-22,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,60073 Pankratz Pass,4075,QLD,10,341,0.99,83.0
33,Wrennie,Dwelly,Female,23,1940-03-11,Operator,Manufacturing,Mass Customer,N,No,18,179 Carey Terrace,3020,VIC,9,674,0.703125,83.0
